,,,上客,,,,,下客
4378,106303337,29576669,2529.813317,,680,106521620,29585980,1829.475732
4380,106303168,29587673,2539.129319,,681,106525434,29582644,1721.242657
4381,106303370,29594794,2537.331576,,683,106526156,29574177,1525.116958
4382,106306144,29601245,2172.487323,,684,106540853,29575756,1357.351044
4383,106315545,29603136,2694.31995,,45771,106549217,29578520,1348.763549
4384,106320189,29624478,2059.25867,,45772,106493894,29574792,1768.956488
4385,106325425,29624553,1855.140262,,45773,106504384,29583626,1079.719951
4386,106330539,29621886,1786.068814,,45774,106553748,29581188,1452.799601
4406,106473528,29458136,450.352014,,52115,106536732,29576452,1726.520492
4407,106473138,29462713,866.791679,,52116,106552138,29585855,516.758173
4408,106472540,29466659,961.184193,,114-1,经度,维度,34009.24156
4409,106472139,29469975,1029.910834,,41562,106497152,29577687,1549.501201
4410,106475798,29469637,1184.386547,,41563,106494112,29574937,1594.208605
4411,106478254,29472788,975.437642,,41564,106487703,29572115,1400.194367
4412,106481236,29475289,1027.648016,,41565,106481943,29572596,1598.473718
4413,106480602,29478841,1166.07348,,41566,106479431,29578741,1449.247829
4414,106483327,29482931,1323.867776,,41567,106479186,29581308,1269.173308
4415,106484218,29485093,1548.238814,,41568,106478436,29589669,1384.555072
4416,106486076,29489796,1305.282888,,41569,106567473,29560520,1009.893854
